,Model,Run,Auc_mean,Auc_std,Acc_mean,Acc_std,F1_mean,F1_std,Mcc_mean,Mcc_std,Aggregate_score
0,GCN_Optimised,5,0.549919091985302,0.06362877880200107,0.3864574123194813,0.011537435791617789,0.02130207785290698,0.03296674340353182,0.030916108934417673,0.0482848315637648,0.29135658864889985
1,GCN_Optimised,2,0.5404437256891594,0.060661582783845466,0.3864426760978485,0.014983694213934542,0.03422591822591823,0.04017324488937358,0.007304020334708498,0.07509098201761967,0.2863719082482277
2,GCN_Optimised,3,0.5379780010915856,0.06185490488210663,0.38558797524314764,0.013797770703198747,0.031631323631323635,0.03790707750074053,0.004905011636497807,0.07148541693170715,0.28437705995398427
3,GCN_Optimised,1,0.5375163353473855,0.06125319130940609,0.3847332743884468,0.015586931496987443,0.029001680289351524,0.039080603330294485,-0.0037639213242809137,0.09440783944540497,0.2817224347137638
4,GCN_Optimised,4,0.5361167420014452,0.055222612089877256,0.3847406424992632,0.012653861031811238,0.023596274883946118,0.03897977362554815,0.00426075407120285,0.055831559227234435,0.2818286211412423
5,GAT_Optimised,2,0.5641721245944991,0.05787320090013368,0.47478632478632476,0.03830581252656328,0.37515349205814047,0.09021663202184295,0.09670337637366293,0.06545718368640038,0.4060589085006079
6,GAT_Optimised,5,0.5635748754669987,0.058244132899313864,0.47304745063365755,0.040158012813570725,0.3727989449475186,0.0939031085184215,0.09185567708076844,0.06736317313606703,0.40391762223585426
7,GAT_Optimised,4,0.5631345802007901,0.05755917570754692,0.46875184202770415,0.0557989172599373,0.3576047848474705,0.12613780469632188,0.08173923937827234,0.09925985905427848,0.39743473151369685
8,GAT_Optimised,3,0.5627349791676275,0.05826865817174416,0.4636310050103153,0.040789800256006564,0.35334826862609225,0.0925183235278333,0.07734737879145963,0.07323523625616714,0.3940489247368932
9,GAT_Optimised,1,0.5592278089110281,0.061687482434440534,0.4525198938992042,0.04864385467240628,0.3056674112210514,0.12836238000051728,0.07148772127162624,0.07393720725242381,0.3789553373416052
10,GraphSAGE_Optimised,5,0.5897838160908938,0.061099637118405284,0.4198570586501621,0.03258594886337633,0.20543680810457268,0.08212553139554596,0.036733625423636486,0.06943666389298458,0.35132634912795857
11,GraphSAGE_Optimised,3,0.5722175330166197,0.05870541068683627,0.42248747421161215,0.032672433325412205,0.20475893674834178,0.10211160789045741,0.04155352878376157,0.07890247273019502,0.34767399527489024
12,GraphSAGE_Optimised,2,0.5714511842165951,0.05806685734498628,0.4207264957264957,0.028798804750998195,0.20633785046237105,0.07488825755979683,0.04105279548015799,0.06201425734450299,0.347131433171433
13,GraphSAGE_Optimised,4,0.5712926833018156,0.05792916717961326,0.42844827586206896,0.025903483004205124,0.23373137359961374,0.0706181727507974,0.05184878033344979,0.0559009182480759,0.35703831853577805
14,GraphSAGE_Optimised,1,0.5698647241055916,0.05866059397382926,0.4104479811376363,0.03309614312150504,0.15406122923151444,0.09614418921739407,0.03779636827730466,0.0834311561590201,0.3324653310747322
15,GIN_Optimised,1,0.5539441023630521,0.04482210218162771,0.38216917182434423,0.00732086236025742,0.005405405405405406,0.016216216216216217,0.010425720702853736,0.03127716210856121,0.28400020747787075
16,GIN_Optimised,3,0.5500246567655244,0.04538288752107051,0.38045977011494253,0.0036179149795903115,0.0,0.0,0.0,0.0,0.27914532806414005
17,GIN_Optimised,5,0.5472288764740249,0.05375047373941707,0.38045977011494253,0.0036179149795903115,0.0,0.0,0.0,0.0,0.2783065939766902
18,GIN_Optimised,2,0.5469281187060867,0.054359999772330476,0.3821765399351606,0.005477282309788735,0.005479452054794521,0.010958904109589041,0.014629978158402949,0.029260174447813935,0.28275328363501373
19,GIN_Optimised,4,0.5388290726903741,0.050742507895327214,0.38045977011494253,0.0036179149795903115,0.0,0.0,0.0,0.0,0.275786652841595
